UserName,Transaction ID,Invoice Number,Date of Transaction,Order ID,Amount Paid,Product ID,Product Name
1,be233b46,INV3664,2016-11-10,1857543,541.43,48223,Peanut Oil
1,137ac7ea,INV5959,2023-06-27,2387365,915.88,20134,Pull Ups Boys Learning Designs Training Pants
1,549059c2,INV4665,2016-07-02,1914557,62.01,28324,Triple Clean Pinto Beans
1,29493917,INV6066,2023-03-04,3338308,192.72,18837,24 hour Allergy Relief Gelcaps for Adults
1,6ac47c0e,INV1863,2018-02-20,1950457,117.13,10079,LamisilAT® Athlete's Foot Antifungal Cream
1,25641bc3,INV9167,2022-12-11,51153,32.43,45563,Oolong Tea
1,5e3aa0b6,INV9343,2020-05-14,2593030,924.16,11946,Lowfat Strawberry Goat Milk Yogurt
1,a471a79c,INV4130,2017-11-05,2724464,806.81,47170,Diced Onion Greek Yogurt Dip
2,7599d7e3,INV8960,2016-06-25,2167321,979.98,26975,Gluten-Free Cornbread Mix
2,9dfe0e1e,INV5830,2023-08-27,2742732,773.56,25829,Waxed Dental Floss
2,39b7addd,INV9658,2016-07-17,1252216,140.75,19767,Old Fashioned Oatmeal
2,1e3b80db,INV8887,2016-12-14,1726765,97.97,25158,Spicy Chipotle Beef & Bean Burrito
2,6f1d76d4,INV8029,2023-06-20,957182,756.18,18129,Fancy Mixed Chinese Vegetables
2,43145520,INV9272,2018-04-06,2066727,679.37,1228,Turkey With Beans 98% Fat Free Chili
2,a3b4643f,INV9285,2022-08-06,2406993,41.66,28726,"Large Waterproof Pad 2 7/8 X 4\"""
2,62e9ba8c,INV1474,2015-02-23,48265,515.97,47290,Honey Goat Milk Cheese
2,aecc948f,INV2469,2019-11-07,1991254,882.03,4812,Stage 1 Apples & Strawberries Organic Pureed Baby Food
2,e576b716,INV8354,2018-03-26,3310940,774.02,18090,Organic Large White Flesh Peach
2,9051e275,INV8774,2016-02-02,177650,69.64,17058,Sausage Scrambles
2,85dbdb3b,INV9577,2020-04-26,1879806,552.5,40628,Paring Knife
2,4d3b4f3d,INV4292,2023-08-03,169529,464.84,28426,Organic Blood Orange Juice
2,0d830f3f,INV1339,2020-07-24,1464030,83.82,20130,Lemon Scent Automatic Dish Washing Powder
2,43641175,INV3052,2019-11-16,2643940,911.35,23784,"Jalapeño Slices, Delicatessen Style, Fresh Pack"
2,ed58012b,INV4449,2021-06-19,53441,459.24,27414,Organic Emmer Farro
2,c64109c9,INV3872,2018-06-12,2903909,974.17,40578,Purple Potatoes
2,9e38292f,INV3157,2017-07-23,3198930,616.4,42449,Organic 65% Cacao Bittersweet Chocolate
2,5f0e5401,INV7189,2021-06-02,264082,398.04,10886,"French Twists, Maple French Toast"
3,f579f96f,INV1806,2023-06-13,2322779,946.44,36777,SweetLeaf Natural Stevia Sweetener Packets
3,6b0bdd85,INV3145,2017-01-03,1548561,788.62,39577,Organic Garlic Dill Pickle Kraut
3,27b93fa1,INV6304,2018-05-24,69279,378.82,13009,Chicken Alfredo Florentine
3,31b09513,INV3028,2023-12-01,2174799,117.58,2614,Tucks Medicated Cooling Pads
3,6a74a2e3,INV2909,2020-07-24,3080988,744.69,5730,Plus Soft Toothbrush
3,26189773,INV9012,2021-12-07,1313904,286.81,6382,Rosemary Lapazena Crackers
3,5230b86f,INV2173,2015-07-12,2618893,944.41,25932,Prairie
3,df1aafa9,INV6938,2021-01-26,2140291,913.75,9180,Twinkies Cakes
3,8ffa3bff,INV8944,2021-09-01,1789080,238.82,31117,Artichoke & Roasted Peppers Quinoa Meal
3,c883d730,INV8194,2023-12-04,457446,997.51,20224,"Beer, Brown Ale, Turbodog, 6 Pack, Multipack"
3,48ea0e62,INV7721,2017-07-14,1033155,851.29,32474,Rich & Hearty Tomato Florentine with Italian Sausage Soup
3,6ee8b5bc,INV1397,2016-11-11,1206774,495.35,30611,Mission Figs
3,33df47c2,INV2472,2017-01-02,1780248,691.92,26055,Original Fruit Chews
3,fb992481,INV7788,2015-11-16,3313433,590.12,14811,Healthy Grains Low Fat Banana Nut Clusters
3,4770d57c,INV7598,2015-09-28,582869,310.82,43011,Freezer Pops Assorted Flavors Oral Electrolyte Maintenance Solution
3,fed90d66,INV6236,2021-09-25,3347031,737.85,12946,Hops Hard Apple Cider
3,25abfe2a,INV3182,2016-04-16,1463463,174.87,32121,Intense Stain Whitening Toothpaste With Fluoride
4,6c08d29f,INV6461,2021-05-01,866708,354.69,16512,Pressed Lime Lemonade
4,b9349b5c,INV2059,2019-01-11,2273614,369.73,32155,School Safe Brownie Bars
4,672af5ff,INV3279,2018-03-26,742442,591.81,14741,"9\"" Pumpkin Pie"
4,7bdc3d5e,INV2361,2020-03-14,2034792,802.68,43622,Sorbet Dutch Chocolate
4,47198809,INV1777,2017-11-12,2410560,667.86,495,Pure Cane Granulated W/Spout Sugar
4,30790d83,INV6271,2020-01-04,812062,774.91,23558,Key Lime Bar Mix
4,3d5568d2,INV3029,2022-06-07,103994,622.81,14605,Gluten Free Broccoli and Kale Lasagna
5,97289ee1,INV5799,2023-10-24,2800151,99.74,5226,Gluten Free Hard Candies Honey
5,84549b1a,INV2572,2018-03-23,415237,857.2,22799,"Cheese, Mozzarella"
5,b36f4506,INV5436,2022-03-11,3319284,767.05,4485,Cinnamon Raisin Granola
5,eb898a6f,INV1913,2019-09-15,2135140,253.34,42173,Passover Pancake Mix
5,c9b00f7f,INV9085,2022-09-23,1343705,247.17,17785,Pro-Health For Me Cross Action Toothbrush
5,5b41040e,INV6474,2019-05-24,2808023,782.02,46944,Honey'd Corn Flakes
5,7c4f58bd,INV9968,2022-05-19,3092587,450.98,19613,Organic Dandelion Greens
5,60d6dd5e,INV6080,2015-12-22,2815058,852.33,34585,"Truffle Sauce, Basil Pesto"
5,897d4b33,INV6905,2017-02-24,2585565,575.45,19423,Nature's Colors Decorating Set
5,eea39958,INV2453,2020-10-10,2641964,766.87,31426,Classic Poultry & Beef Feast Variety Cat Food
5,9d92943d,INV2302,2019-02-05,473215,189.25,13927,No Sugar Added Sweet Relish
5,1836759a,INV9049,2018-11-25,2466469,266.38,4980,Matzo S'mores
5,cea25004,INV1601,2021-10-28,118743,665.27,10079,LamisilAT® Athlete's Foot Antifungal Cream
5,49bcda04,INV3078,2018-10-28,2830631,183.87,19690,Green Oak Lettuce
5,2a950e2f,INV5259,2021-01-20,3090698,841.85,18739,5 Cheese Ravioli
5,d7dd7928,INV9590,2020-06-25,2715788,820.7,15297,Strawberry Oikos Greek Yogurt
5,593abe79,INV2601,2019-11-15,2760942,404.58,46903,Light Creamy Swiss Flavor Spreadable Cheese Wedges
5,ed1e36a1,INV7500,2023-01-02,2140251,668.48,38441,Buffalo Style Breaded Chicken Wings
6,6c8f204f,INV9400,2019-07-05,1935170,435.48,11483,Classic White Bowls
6,980e02db,INV5774,2015-11-16,2233971,761.54,17153,Chorizo Pork Sausage
6,b5f31d73,INV1619,2021-02-10,1507080,947.16,46382,Baby Fresh Pampers Baby Wipes Baby Fresh 3X Refill 216 count  Baby Wipes
6,ef0612e0,INV9280,2021-09-28,1868223,309.39,3463,Twist 'n Loc Medium Round Containers + Lids
6,2c542ad0,INV7913,2016-07-13,146502,295.23,32073,Calms Nerve Tension Sleeplessness 4 GR. - 100 CT
6,9ee35d5f,INV9785,2017-01-05,1663547,719.02,33637,Corn Bread & Muffin Mix
6,b07a0ba0,INV2074,2016-10-12,2989854,92.35,11004,Whole Chicken Fryer
6,d6f2879c,INV7686,2019-11-21,310930,251.44,7747,Lemon Mint Foaming Hand Wash
6,8fd07c84,INV5803,2019-07-09,2314311,901.91,22996,3 Pepper Colby Jack Cheese
6,7e8b7dd4,INV5094,2020-03-02,2824268,141.86,48458,Classic Kombucha Superfruit
6,5e287b48,INV1933,2021-01-13,52765,560.81,47708,Chili Peppers Whole
6,e7e7d119,INV4851,2023-12-16,2448565,886.25,16130,Bistro Organic Caesar Salad Bowl with Chicken
7,e1fb4e23,INV2561,2019-12-17,1961585,235.26,20811,Gourmet Organic Thyme
7,30844eaf,INV4183,2022-03-04,2191632,105.74,22111,Multi-Purpose Cleaner Gain Scent
7,ffc54d48,INV4954,2021-12-27,1371147,408.0,37678,100% Canola Oil
7,636b681b,INV5732,2020-12-11,1517973,930.69,60,Cheesy Creations Roasted Garlic Parmesan Sauce
7,4a54a258,INV1794,2021-12-22,2761878,605.21,29352,Active Naturals Body Wash Calming Lavender Chamomile & Ylang Ylang
7,43f992a0,INV3123,2020-06-18,1115587,246.19,32764,Mini Cream Puff
7,b3cbed68,INV6095,2019-07-24,471252,199.4,12137,Original Essential Antioxidants 100% Vegetable Juice
7,d978a878,INV7762,2019-11-13,415454,146.24,42827,"Egg White & Spinach Roasted Tomato, Potato & Cheddar Burrito"
7,5af6e16e,INV4782,2016-03-26,2851334,645.14,38930,Mini Chocolate Frosted Donuts
7,37f0b53c,INV7606,2019-11-15,1167828,496.09,42317,Organic Quinoa Rice Pasta & White Cheddar Macaroni & Cheese
7,3e503baf,INV8983,2018-11-15,1918082,907.44,36789,UltimateCare Premium Liquid Bleach
7,d7c68150,INV5672,2015-09-03,3312223,917.05,13846,Thai Basil & Sweet Chili Medium Stir-Fry Sauce
7,5f1dbc81,INV5209,2017-01-01,2677385,942.3,27083,Organic Coconut Aloe Water
7,e8020999,INV4065,2022-09-09,1619299,51.02,10067,Cajun Crispy Fish Fry Breading Mix
7,8ace28f4,INV4640,2018-11-14,889661,237.04,2469,Italian Salad Blend
7,b55ba420,INV4960,2015-08-22,1854563,623.44,39204,Mighty Pacs Free Clear
7,d125af48,INV5473,2016-12-15,756790,130.8,9210,Fresh Whole Chicken
7,0dd79f01,INV4266,2022-07-27,643535,974.13,16968,Ranch To Go
7,d49704ca,INV8887,2019-06-02,584066,582.38,16555,Southwest Chipotle Salt-Free Seasoning Blend
7,fd280cec,INV6575,2019-05-06,3310670,573.08,22840,Honey & Black Seed Soa with Apricot Oil
8,8960b055,INV7172,2015-02-24,1058947,788.32,8731,Sonoma County Chardonnay
8,cc39edab,INV6766,2020-04-14,2831372,783.46,31947,Shredded Natural Parmesan-Romano and Asiago Cheese Shaker
8,fb17741b,INV2549,2016-07-04,2256290,574.5,7744,Light Greek Vinaigrette Dressing
8,eebe647d,INV6482,2018-06-06,1716010,207.23,12953,Organic Just Tart Cherry Juice
8,6d1bcb8e,INV9427,2020-08-28,1222560,669.16,49481,Original Barbecue Sauce
8,4a69c610,INV5519,2021-05-07,2626117,668.59,11194,Mandarin Orange Sparkling Seltzer Water
8,48a52df8,INV3323,2020-05-26,2921110,337.69,8117,Bacon Wrapped Scallops
9,7601ff7f,INV9016,2021-03-23,713512,156.78,33621,Rice Linguine Noodles
9,dba6050d,INV2642,2023-11-28,836968,36.88,36722,Classic Cherry Lipbalm
9,f4a52f57,INV8415,2023-08-12,111919,364.09,34456,Greek 100 Whips Strawberry Cheesecake Yogurt
9,f8d61075,INV5618,2015-01-16,1841499,428.51,5305,Classic Deluxe Nonstick Grater
9,dd9add96,INV2273,2020-02-21,2103765,359.01,44954,Kit Caesar Lite
9,29d66902,INV9330,2023-03-20,2659698,651.43,9685,Sweat Defense Fresh Anti-Perspirant & Deodorant
9,70e7ea8d,INV2273,2016-07-25,1430140,599.78,28103,No Sugar Added Red Grapefruit in Water
10,ae8b20ec,INV9949,2018-12-01,2324532,680.95,39159,Chuck Eye Steak
10,8c4d7ae4,INV2406,2020-11-12,1047023,846.61,28375,Natural Cedar Scent Toilet Cleaner
10,a136208a,INV7741,2021-02-07,1053393,900.01,43717,18-in-1 Hemp Pure-Castile Soap Almond
10,d79bcb40,INV4549,2020-01-19,3266848,38.22,9217,Cold Brew Coffee With Coconut Milk
10,2dd44dd7,INV9269,2021-08-27,1711145,697.79,23326,German Quality Beer
10,525132fe,INV4608,2016-02-04,1368966,232.5,34912,"Unscented Lotion for Face, Hands, Body"
10,801181f5,INV8838,2019-01-18,985614,280.77,27263,Cajun Gumbo Base
10,540dda2b,INV8507,2021-08-25,3103227,747.72,26189,Southwest Veggie Burger
10,5104b3ca,INV4809,2017-03-20,2141019,567.67,16156,Aloe Vera
10,404875c1,INV8691,2021-05-23,453873,280.54,33266,Gluten Free Thai Style Red Curry with Beef Bowls
10,016e0927,INV5351,2018-03-16,3132704,322.48,6597,with Pump Rebalancing Shampoo
10,20d8156f,INV6091,2016-01-12,2937941,994.46,37586,Whole Grain Oat Flour
11,e9761f8f,INV8612,2018-03-08,1521149,708.63,21917,Vitamin C Pops
11,8c0992b4,INV4148,2019-04-22,3314897,789.32,40599,"Macadamias, Maui Onion, Sweet"
11,89e3e38a,INV9242,2019-08-09,1764104,113.58,39356,Whole New Potatoes
11,dadd8a30,INV9686,2022-06-22,1073500,642.89,37463,Sardines in Extra Virgin Olive Oil with Spicy Cracked Pepper
11,2f478d43,INV2125,2017-04-26,1724979,218.06,25406,Prime Filets Meaty Favorites Variety Pack Cat Food
11,ff1c2e4d,INV7643,2015-06-11,2594321,184.06,7195,Plastic Blue Bowls
11,b1b594a3,INV6249,2016-07-18,3330831,873.55,36883,Medium Spicy Tandoori Marinade
11,fa088da1,INV3678,2023-03-02,621765,537.67,32973,Baked Zitta With Turkey Meatballs
11,f1771a81,INV3597,2020-11-09,2870610,184.69,35019,Hand Sanitizing Wipes Original
11,19a76aed,INV9402,2015-06-05,2308557,110.24,13016,French Style Green Beans
11,53b32fb9,INV3311,2017-10-05,2164606,21.08,13739,Healing Baby Diaper Rash Cream
11,18074277,INV7675,2021-06-04,1653167,148.85,42965,Fat Tire Beer
11,838c631e,INV9793,2019-10-13,781505,456.31,26731,Peach Guava Coconut Water
11,ea12e7d0,INV7709,2021-08-08,768923,50.07,37956,Berry Energy Shot
11,ad512a3e,INV7731,2023-01-06,2715676,368.66,45086,Big Red Cinnamon Gum 3 Slim
11,4703aa46,INV6660,2020-08-27,2336754,107.23,24008,White Enriched & Degermed Corn Meal
11,f2c45775,INV6573,2016-01-23,469407,495.92,31476,"Measure Cups, 4 pc"
11,811833b4,INV6500,2019-07-19,2494657,420.88,46324,Organic Cranberry Lemonade Vitality Beverage
11,b3c8495c,INV1343,2020-08-01,1827264,463.31,15982,Maple Sausage Links
11,04e1a68d,INV3737,2022-10-02,1795034,358.38,35448,Almonds  Dark Chocolate Squares
11,66cb4558,INV1685,2023-04-26,2649128,597.39,44367,Children's Pain and Fever Relief Cherry Blast Liquid
12,c69eb615,INV9620,2015-01-23,3081328,849.97,47311,Tuscan Style Herb Turkey Breast
12,5c2723c9,INV9842,2019-04-02,831894,280.32,6012,Original Mindful Mayo Dressing & Sandwich Spread
12,54442f69,INV8554,2015-04-02,454526,623.64,20757,Say Cheese! Crispy Whole Grain Baked Crackers
12,6245cb9d,INV6795,2019-03-25,1783628,327.25,4051,Enriched Parboiled Long Grain Rice Original
12,62aa3945,INV7062,2019-03-23,2330381,694.61,49458,Chicken Jerky Dog Treats
12,fab808f8,INV3660,2016-08-06,2751091,471.05,33713,Medium Queso Loco Cheese Salsa & Dip
